patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
256_50_1,0.046287104,0.7817108,0.0,0.0,0.0,0.0,0.17200212
256_50_2,0.0028792827,0.5429231,0.0,0.0,0.0,0.0,0.45419767
256_50_3,0.065920755,0.084193125,0.0,0.0,0.0,0.0,0.8498861
256_50_4,0.15352954,0.015049972,0.0,0.0,0.0,0.0,0.83142054
256_50_5,0.26669762,0.08848241,0.0,0.0,0.0,0.0,0.6448199
256_50_6,0.46855804,0.2542063,0.0,0.0,0.0,0.0,0.27723566
256_50_7,0.29689822,0.26755553,0.0,0.0,0.0,0.0,0.43554628
256_50_8,0.0074290247,0.08801746,0.0,0.0,0.0,0.0,0.90455353
256_50_9,0.12104778,0.0,0.0,0.0,0.0,0.0,0.87895226
256_50_10,0.12104777,0.040715598,0.0,0.0,0.0,0.0,0.8382367
256_50_11,0.0,0.14895941,0.0,0.0,0.0,0.0,0.8510406
256_50_12,0.0,0.19246346,0.0,0.0,0.0,0.0,0.80753654
256_50_13,0.0,0.11562604,0.0,0.0,0.0,0.0,0.8843739
256_50_14,0.0,0.1349115,0.0,0.0,0.0,0.0,0.8650885
256_50_15,0.0,0.2358379,0.0,0.0,0.0,0.0,0.76416206
256_50_16,0.0,0.3219952,0.0,0.0,0.0,0.0,0.67800474
256_50_17,0.0,0.21475145,0.0,0.0,0.0,0.0,0.7852486
256_50_18,0.0,0.05530756,0.0,0.0,0.0,0.0,0.94469243
256_50_19,0.0,0.105666384,0.0,0.0,0.0,0.0,0.89433366
256_50_20,0.0,0.14855547,0.0,0.0,0.0,0.0,0.85144454
256_50_21,0.0,0.0731076,0.0,0.0,0.0,0.0,0.9268924
256_50_22,0.0,0.032381464,0.0,0.0,0.0,0.0,0.9676186
256_50_23,0.0,0.20181029,0.0,0.0,0.0,0.0,0.79818964
256_50_24,0.0,0.30842322,0.0,0.0,0.0,0.0,0.6915768
256_50_25,0.0,0.15523246,0.0,0.0,0.0,0.0,0.8447675
256_50_26,0.0,0.11969728,0.0,0.0,0.0,0.0,0.8803027
256_50_27,0.0,0.119059436,0.0,0.0,0.0,0.0,0.88094056
256_50_28,0.0,0.072576754,0.0,0.0,0.0,0.0,0.92742324
256_50_29,0.0,0.13632473,0.0,0.0,0.0,0.0,0.8636753
256_50_30,0.0,0.18530402,0.0,0.0,0.0,0.0,0.81469595
