patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
256_50_1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_2,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_3,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_4,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_6,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_7,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_8,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_9,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256_50_10,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_13,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_14,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_15,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_16,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_17,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_18,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_19,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_20,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_21,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_22,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_23,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_24,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_25,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_26,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_27,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_28,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_29,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_30,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_31,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_32,1.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_33,1.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_34,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_35,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_36,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_37,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_38,1.0,0.0,0.0,0.0,1.0,1.0,0.0
256_50_39,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_40,1.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_41,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_42,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_43,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_44,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_45,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_46,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_47,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_48,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_49,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_50,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_51,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_52,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_53,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_54,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_55,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_56,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_57,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_58,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_59,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_60,0.0,1.0,0.0,1.0,1.0,1.0,0.0
256_50_61,0.0,1.0,0.0,1.0,1.0,1.0,0.0
256_50_62,0.0,1.0,0.0,1.0,1.0,1.0,0.0
256_50_63,1.0,1.0,0.0,0.0,1.0,1.0,0.0
256_50_64,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_65,1.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_66,0.0,0.0,0.0,0.0,1.0,1.0,1.0
256_50_67,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_68,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_69,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_70,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256_50_71,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_72,0.0,1.0,0.0,0.0,0.0,1.0,1.0
256_50_73,0.0,1.0,0.0,1.0,0.0,1.0,1.0
256_50_74,0.0,1.0,0.0,1.0,0.0,1.0,1.0
256_50_75,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_76,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_77,0.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_78,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_79,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_80,0.0,1.0,0.0,1.0,1.0,0.0,1.0
256_50_81,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_82,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_83,0.0,1.0,0.0,1.0,1.0,1.0,1.0
256_50_84,1.0,1.0,0.0,0.0,1.0,1.0,1.0
256_50_85,1.0,0.0,0.0,0.0,1.0,0.0,1.0
256_50_86,1.0,0.0,0.0,0.0,1.0,0.0,1.0
256_50_87,0.0,0.0,0.0,0.0,1.0,0.0,1.0
256_50_88,0.0,1.0,0.0,0.0,1.0,0.0,1.0
