patch_id,af1,Qal,Qaf,Qat,Qc,Qca,Qr
sonora_256_50_1,0.0,0.012210544,0.0,0.0,0.0,0.0,0.98778945
sonora_256_50_2,0.0,0.012210544,0.0,0.0,0.04861564,0.0,0.9391738
sonora_256_50_3,0.0,0.0,0.0,0.0,0.16317733,0.0,0.8368227
sonora_256_50_4,0.0,0.0,0.0,0.0,0.2654681,0.0,0.73453194
sonora_256_50_5,0.0,0.0,0.0,0.0,0.3203801,0.0,0.6796199
sonora_256_50_6,0.0,0.0,0.0,0.0,0.2478444,0.0,0.7521556
sonora_256_50_7,0.024496512,0.0,0.0,0.0,0.07837071,0.0,0.8971328
sonora_256_50_8,0.08586151,0.023374759,0.0,0.0,0.0,0.0,0.8907637
sonora_256_50_9,0.06149427,0.05875035,0.0,0.0,0.0,0.0,0.8797554
sonora_256_50_10,0.00012926865,0.058470245,0.0,0.0,0.0,0.0,0.94140047
sonora_256_50_11,0.0,0.023094654,0.0,0.0,0.0,0.0,0.97690535
sonora_256_50_12,0.0,0.021676548,0.0,0.0,0.0,0.0,0.97832346
sonora_256_50_13,0.0,0.0735161,0.0,0.0,0.0,0.0,0.9264839
sonora_256_50_14,0.07766223,0.07978625,0.0,0.0,0.0,0.0,0.84255147
sonora_256_50_15,0.07766223,0.048696376,0.0,0.0,0.048431825,0.0,0.82520956
sonora_256_50_16,0.0,0.024559356,0.0,0.0,0.13736662,0.0,0.838074
sonora_256_50_17,0.0,0.0091484785,0.0,0.0,0.28645286,0.0,0.70439863
sonora_256_50_18,0.0,0.05127783,0.0,0.0,0.30997294,0.0,0.6387492
sonora_256_50_19,0.0,0.103423394,0.0,0.0,0.18477789,0.0,0.71179867
sonora_256_50_20,0.0,0.14459367,0.0,0.0,0.08651032,0.0,0.768896
sonora_256_50_21,0.0,0.15551159,0.0,0.0,0.014187314,0.0,0.8303011
sonora_256_50_22,0.0,0.06990623,0.0,0.0,0.0,0.0,0.93009377
sonora_256_50_23,0.0,0.0015039562,0.0,0.0,0.0,0.0,0.998496
sonora_256_50_24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_25,0.01551328,0.067049146,0.0,0.0,0.0,0.0,0.9174376
sonora_256_50_26,0.03388772,0.16845348,0.0,0.0,0.0,0.0,0.7976588
sonora_256_50_27,0.049720768,0.13370931,0.0,0.0,0.0,0.0,0.8165699
sonora_256_50_28,0.062605456,0.043917615,0.0,0.0,0.0,0.0,0.89347696
sonora_256_50_29,0.051432442,0.011612651,0.0,0.0,0.0,0.0,0.9369549
sonora_256_50_30,0.020173322,0.0,0.0,0.0,0.0,0.0,0.9798267
sonora_256_50_31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_32,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sonora_256_50_34,0.0,0.10470192,0.0,0.0,0.0,0.0,0.89529806
sonora_256_50_35,0.0,0.54992884,0.0,0.0,0.0,0.0,0.45007116
